St. Louis, Missouri January Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193901,38.6,7.8
194001,15.1,-15.7
194101,34.4,3.6
194201,31.8,1.0
194301,31.0,0.2
194401,36.4,5.6
194501,28.1,-2.7
194601,33.9,3.1
194701,36.7,5.9
194801,25.7,-5.1
194901,32.5,1.7
195001,37.8,7.0
195101,32.8,2.0
195201,36.1,5.3
195301,35.4,4.6
195401,32.8,2.0
195501,33.2,2.4
195601,29.3,-1.5
195701,27.0,-3.8
195801,31.4,0.6
195901,27.8,-3.0
196001,34.2,3.4
196101,30.7,-0.1
196201,26.3,-4.5
196301,22.9,-7.9
196401,36.3,5.5
196501,33.5,2.7
196601,26.5,-4.3
196701,36.3,5.5
196801,30.2,-0.6
196901,30.3,-0.5
197001,25.9,-4.9
197101,28.6,-2.2
197201,31.0,0.2
197301,33.7,2.9
197401,31.4,0.6
197501,34.8,4.0
197601,29.7,-1.1
197701,16.6,-14.2
197801,21.3,-9.5
197901,18.4,-12.4
198001,32.0,1.2
198101,31.3,0.5
198201,23.1,-7.7
198301,32.8,2.0
198401,28.8,-2.0
198501,23.1,-7.7
198601,35.4,4.6
198701,31.1,0.3
198801,29.7,-1.1
198901,40.6,9.8
199001,42.7,11.9
199101,29.1,-1.7
199201,36.8,6.0
199301,31.9,1.1
199401,26.3,-4.5
199501,30.6,-0.2
199601,28.9,-1.9
199701,27.7,-3.1
199801,37.4,6.6
199901,32.4,1.6
200001,34.0,3.2
200101,31.5,0.7
200201,37.2,6.4
200301,28.3,-2.5
200401,31.1,0.3
200501,34.1,3.3
200601,42.5,11.7
200701,34.3,3.5
200801,33.2,2.4
200901,29.1,-1.7
201001,27.1,-3.7
201101,27.6,-3.2
201201,38.0,7.2
201301,35.5,4.7
201401,27.0,-3.8
201501,32.6,1.8
201601,33.3,2.5
201701,37.3,6.5
201801,30.0,-0.8
201901,31.1,0.3
202001,36.1,5.3
202101,35.0,4.2
202201,29.5,-1.3
